"key","rule","severity","type","status","resolution","message","component","line","creationDate"
"AZ0gLVe9-pUEN_9mPaY4","typescript:S4325","MINOR","CODE_SMELL","OPEN",,"This assertion is unnecessary since it does not change the type of the expression.","salahmostava-sys_muhimmat:frontend/src/components/AlertsList.tsx","68","2026-03-24T14:07:48+0000"
"AZ0gLVcu-pUEN_9mPaY3","typescript:S6759","MINOR","CODE_SMELL","OPEN",,"Mark the props of the component as read-only.","salahmostava-sys_muhimmat:frontend/src/components/ui/badge.tsx","25","2026-03-24T14:07:48+0000"
"AZ0gLVY6-pUEN_9mPaY1","typescript:S4325","MINOR","CODE_SMELL","OPEN",,"This assertion is unnecessary since it does not change the type of the expression.","salahmostava-sys_muhimmat:frontend/src/components/ui/chart.tsx","133","2026-03-24T14:07:48+0000"
"AZ0gLVcb-pUEN_9mPaY2","typescript:S6759","MINOR","CODE_SMELL","OPEN",,"Mark the props of the component as read-only.","salahmostava-sys_muhimmat:frontend/src/components/ui/skeleton.tsx","3","2026-03-24T14:07:48+0000"
"AZ0gLVmW-pUEN_9mPaY_","typescript:S4043","MAJOR","CODE_SMELL","RESOLVED","FIXED","Move this array ""sort"" operation to a separate statement or replace it with ""toSorted"".","salahmostava-sys_muhimmat:frontend/src/pages/Alerts.tsx","401","2026-03-24T14:07:48+0000"
"AZ0gLVmW-pUEN_9mPaZA","typescript:S4325","MINOR","CODE_SMELL","OPEN",,"This assertion is unnecessary since it does not change the type of the expression.","salahmostava-sys_muhimmat:frontend/src/pages/Alerts.tsx","403","2026-03-24T14:07:48+0000"
"AZ0gLVmW-pUEN_9mPaZB","typescript:S4325","MINOR","CODE_SMELL","OPEN",,"This assertion is unnecessary since it does not change the type of the expression.","salahmostava-sys_muhimmat:frontend/src/pages/Alerts.tsx","403","2026-03-24T14:07:48+0000"
"AZ0gLVoA-pUEN_9mPaZI","typescript:S6606","MINOR","CODE_SMELL","OPEN",,"Prefer using nullish coalescing operator (`??`) instead of a ternary expression, as it is simpler to read.","salahmostava-sys_muhimmat:frontend/src/pages/Employees.tsx","953","2026-03-24T14:07:48+0000"
"AZ0gLVm7-pUEN_9mPaZC","typescript:S6551","MINOR","CODE_SMELL","OPEN",,"'r[mapping.name] || ''' will use Object's default stringification format ('[object Object]') when stringified.","salahmostava-sys_muhimmat:frontend/src/pages/Fuel.tsx","134","2026-03-24T14:07:48+0000"
"AZ0gLVm7-pUEN_9mPaZD","typescript:S6551","MINOR","CODE_SMELL","OPEN",,"'r[mapping.km] || 0' will use Object's default stringification format ('[object Object]') when stringified.","salahmostava-sys_muhimmat:frontend/src/pages/Fuel.tsx","135","2026-03-24T14:07:48+0000"
"AZ0gLVm7-pUEN_9mPaZE","typescript:S6551","MINOR","CODE_SMELL","OPEN",,"'r[mapping.fuel] || 0' will use Object's default stringification format ('[object Object]') when stringified.","salahmostava-sys_muhimmat:frontend/src/pages/Fuel.tsx","136","2026-03-24T14:07:48+0000"
